;ISBN;Title;Author;Year-Of-Publication;Publisher;Rating;Image-URL-S;Image-URL-M;Image-URL-L;Description
0;1901289060;Encyclopedia of Herbs  Spices;Linda Fraser;;Hermes 2;10;http://images.amazon.com/images/P/1901289060.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1901289060.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1901289060.01.LZZZZZZZ.jpg;This encyclopedia includes a history of herbs, a practical guide to choosing, planting, harvesting and preserving fresh herbs, a comprehensive A-Z, and a recipe section which includes starters, main courses, barbecues, picnics and desserts
1;0385231180;Starring Mothers: 30 Portraits of Accomplished Women;Jill Barber;1987.0;Bantam Dell Pub Group;10;http://images.amazon.com/images/P/0385231180.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385231180.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385231180.01.LZZZZZZZ.jpg;Interviews with notably accomplished women such as Carly Simon, Amy Irving, Nancy Lopez, Dianne Feinstein, and Julia Migenes-Johnson reveal each woman's thoughts on balancing motherhood and a career
2;0307244105;Seashells of the World: A Guide to the Better-Known Species (Golden Guide);R. Tucker Abbott;1962.0;St Martins Pr;10;http://images.amazon.com/images/P/0307244105.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307244105.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307244105.01.LZZZZZZZ.jpg;A guide for the identification of shells, including general information on mollusks and advice on shell collecting and study.
3;0810944731;Paul J. Stankard;Ulysses Grant Dietz;1996.0;Harry N Abrams;10;http://images.amazon.com/images/P/0810944731.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0810944731.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0810944731.01.LZZZZZZZ.jpg;Since childhood, nature has always been important to Paul Stankard, and now as the world's leading glass paperweight artist, this interest has become the defining signature of his work. Flowers such as roses, lilacs, and orchids are depicted as are a host of fantasy flowers that the artist creates in his studio, located in southern New Jersey. To look at a Stankard paperweight is to be momentarily fooled into believing that the artist has preserved a living flower in glass, when, in fact, he has created one entirely from spun filaments. Words, too, play a role, again reinforcing natural processes. Here the artist creates mosaic word canes, spelling out words like seed, wet, and scent, to name a few, which he then embeds in his floral creations. A more complex application of Stankard's paperweight skill is the formation of what the artist calls botanicals, which are upright cloistered glass objects, sometimes in diptych and triptych formations. In Paul Stankard: Homage to Nature, decorative arts curator Ulysses Grant Dietz writes with ease and affection about this gregarious, immensely talented artist. More than 180 photographs by fine arts photographer John Bigelow Taylor display close to 200 paperweights and botanicals made by Paul Stankard. Also included are photographs showing the actual preparation and assembly of the flowers, root people, and insects encased in glass. No other glass art book has ever shown a glass artist's process of creation as it is depicted here.
4;0590438492;Buried in Ice (Time Quest Book);Owen Beattie;1993.0;Scholastic;10;http://images.amazon.com/images/P/0590438492.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0590438492.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0590438492.01.LZZZZZZZ.jpg;Probes the tragic and mysterious fate of Sir John Franklin's failed expedition to find the Northwest Passage in 1845.
5;0020407009;Titters: The first collection of humor by women;Deanne Stillman;1976.0;Collier Books;10;http://images.amazon.com/images/P/0020407009.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0020407009.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0020407009.01.LZZZZZZZ.jpg;
6;0762413069;Free to Be You and Me;Marlo Thomas;2002.0;Running Press Book Publishers;10;http://images.amazon.com/images/P/0762413069.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0762413069.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0762413069.01.LZZZZZZZ.jpg;This is the book we all know and love by Marlo Thomas and her friends-brought to new life with brand new illustrations to captivate and inspire a new generation of readers on a journey of the heart. Whether you are opening Free to Be . . . You and Me for the first time or the one hundredth time you will be engaged and transformed by this newly beautifully illustrated compilation of inspirational stories, songs, and poems. The sentiments of thirty-five years ago are as relevant today as when this book was published. Celebrating individuality and challenging stereotypes empowers both children and adults with the freedom to be who they want to be and to have compassion and empathy for others who may be different. Working closely with Marlo and co-creator Carole Hart, Peter H. Reynolds, the New York Times Best Selling Children's Book Author/Illustrator, conjured his whimsical drawings throughout the book bringing a new sense of unity and warmth to the pages. You will find yourself marveling at the illustrations, nodding in agreement with the stories and poems, and singing the words to all the classic songs! It is wonderful that the thoughts, ideas, and emotions the creators envisioned so many years ago can still have a magical effect on children today.
7;1555842046;Letters from Egypt: A journey on the Nile, 1849-1850;Florence Nightingale;1987.0;Weidenfeld & Nicolson;10;http://images.amazon.com/images/P/1555842046.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1555842046.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1555842046.01.LZZZZZZZ.jpg;Florence Nightingale was twenty-nine when she visited Egypt in the winter of 1849-1850 with her friends Charles and Selma Bracebridge. She wrote long, picturesque letters to her family describing her visit and her views on the country, its history and its people. These letters were edited and privately printed by her sister, Parthenope, in 1854 and were greatly admired by those who read them, but they have never before been published.
8;0870991523;Wonderful things: The discovery of Tutankhamun's tomb;Harry Burton Photographer;1978.0;Metropolitan Museum of Art;10;http://images.amazon.com/images/P/0870991523.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0870991523.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0870991523.01.LZZZZZZZ.jpg;Text abridged and adapted from the Tomb of Tut Ankh Amen, by Howard Carter and A.C. Mace, 3 vols., 1923-1933.
9;030680932X;The Dark Side of Genius: The Life of Alfred Hitchcock;Donald Spoto;1999.0;Da Capo Press;10;http://images.amazon.com/images/P/030680932X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/030680932X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/030680932X.01.LZZZZZZZ.jpg;This is the definitive life story of Alfred Hitchcock, the enigmatic and intensely private director of Psycho, Vertigo, Rear Window, The Birds, and more than forty other films. While setting forth every stage of Hitchcock's long life and brilliant career, Donald Spoto also explores the roots of the director's obsessions with blondes, food, murder, and idealized love—and he traces the incomparable, bizarre genius from Hitchcock's English childhood through the golden years of his career in America as one of the greatest directors in the history of filmmaking.
